PROVINCIA;C6H6;SO2;CO;NO2;O3;O3_GIORNI_SUPERAMENTO_TOLLERANZA;O3_GIORNI_SUPERAMENTO_ALLARME;PM10;PM2_5;Pb;As;Ni;Cd;BaP
BG;1;3;0.5;30;55;16;1;30;21; ; ; ; ; 
BG; ; ; ;24;42;4;0;37;29;0.014;1.5;4;0.2;0.5
BG; ; ; ;25;55;23;2; ; ; ; ; ; ; 
BG; ;3; ; ; ; ; ; ; ; ; ; ; ; 
BG; ; ; ;32; ; ; ; ;25; ; ; ; ; 
BG; ; ; ;26; ; ; ; ; ; ; ; ; ; 
BG; ; ; ;33;47;15;0;28; ; ; ; ; ; 
BG; ;2;0.8;33; ; ; ; ; ; ; ; ; ; 
BG; ;4; ;27; ; ; ;35; ; ; ; ; ; 
BG; ;3; ;32; ; ; ;29; ; ; ; ; ; 
BG;1.1;4;1.1;48; ; ; ;35; ; ; ; ; ; 
BG; ; ;0.6;37; ;21;2;29;23;0.013;1.5;10.3;0.3;0.4
BG;0.8; ;0.8;49; ; ; ;33;26; ; ; ; ; 
BG; ; ; ;52; ; ; ; ; ; ; ; ; ; 
BG; ; ; ;30; ; ; ; ; ; ; ; ; ; 
BG; ; ; ;33; ; ; ; ; ; ; ; ; ; 
BS; ; ; ;23;59;18;0; ; ; ; ; ; ; 
BS; ; ;0.6;38; ; ; ; ; ; ; ; ; ; 
BS;1.8; ;0.5;36;47;12;0; ; ; ; ; ; ; 
BS; ; ;0.7;67; ; ; ; ; ; ; ; ; ; 
BS; ; ;0.5;42; ; ; ;35; ; ; ; ; ; 
BS; ;3.8; ;38;48;16;0;39;31;0.028;1.5;6.6;0.6;0.6
BS; ; ;0.5;32; ; ; ;31; ; ; ; ; ; 
BS; ; ;0.5;29;41;8;1;42; ; ; ; ; ; 
BS; ; ; ;25; ; ; ; ; ; ; ; ; ; 
BS; ; ; ;29;44;11;0; ; ; ; ; ; ; 
BS; ; ; ;17; ; ; ;28; ; ; ; ; ; 
BS; ; ; ;24; ; ; ; ; ; ; ; ; ; 
BS;1.7; ; ; ;40;9;1;35;27;0.016;1.5;4.8;0.4;1.4
CO; ;2;0.6;27;60;27;6;19; ; ; ; ; ; 
CO; ; ; ;52; ; ; ; ; ; ; ; ; ; 
CO; ; ; ;42; ; ; ; ; ; ; ; ; ; 
CO; ; ;0.5;43;38;20;1;27; ; ; ; ; ; 
CO;2.5;1;1;44;41;6;0;28;21; ; ; ; ; 
CR;0.9;4;0.4;36; ; ; ;36;26; ; ; ; ; 
CR; ;2;0.3;36;40;9;0;37;28; ; ; ; ; 
CR; ; ; ;36;42;12;0;32; ; ; ; ; ; 
CR; ; ; ;28;46;17;0;38;30; ; ; ; ; 
CR; ; ; ;20;45;10;0; ; ; ; ; ; ; 
CR; ; ; ;27; ; ; ; ; ; ; ; ; ; 
CR; ; ; ; ; ; ; ;29; ; ; ; ; ; 
CR; ; ; ;30; ; ; ;37; ; ; ; ; ; 
CR; ;2;0.5;36;46;18;0;39; ; ; ; ; ; 
CR; ; ; ;30; ; ; ;42; ;0.007;1.5;4;0.1;0.4
LC; ; ;0.4;28;61;30;0;24; ; ; ; ; ; 
LC;0.7;2;0.6;50; ; ; ;26; ; ; ; ; ; 
LC; ; ; ;29;58;31;0;22;15; ; ; ; ; 
LC; ; ; ;33; ; ; ; ; ; ; ; ; ; 
LC; ; ; ;40;48;8;0; ; ; ; ; ; ; 
LC; ; ;0.7;54;34;0;0;36;27; ; ; ; ; 
LC; ;2; ;25;44;13;0; ; ; ; ; ; ; 
LC; ; ; ; ;93;19;0; ; ;0.012;1.5;6.7;0.1; 
LC; ; ; ;22;53;14;0; ; ; ; ; ; ; 
LO;2;5;0.5;34; ; ; ; ; ; ; ; ; ; 
LO; ; ; ;32;38;3;0;32;26; ; ; ; ; 
LO; ;3; ;26; ; ; ;35; ; ; ; ; ; 
LO; ; ; ;25;48;16;0;33; ; ; ; ; ; 
LO; ; ; ;24; ; ; ; ; ; ; ; ; ; 
