ParkID,PSA,Park,FQ,Score,Facility Type,Facility Name,Address,State,Zipcode,Floor Count,Square Feet,Perimeter Length,Acres,Longitude,Latitude
86,PSA4,Carl Larsen Park,FY05Q3,0.795,Basketball Court,Ocean View Basketball Courts,Capitol & Montana St,CA,94112,,5572.02031431,311.98222779,0.1279165,-122.45670775,37.71633478
13,PSA4,Junipero Serra Playground,FY05Q3,0.957,Ball Field,Glen ball fields,Diamond & Farnum Street,CA,94131,,124520.486259,1891.67544541,2.85860846,-122.44059154,37.73600816
9,PSA4,Rolph Nicol Playground,FY05Q3,0.864,Dog Play Area,Douglass dog play area,26th & Douglass Street,CA,94114,,70655.3372339,1153.01964642,1.62202984,-122.43889466,37.74674101
117,PSA2,Alamo Square,FY05Q4,0.857,Restroom,Gilman Bathrooms,Gilman Ave & Griffith,CA,94124,,378.6686028,94.25731914,0.00869307,-122.38877192,37.71717866
60,PSA6,Jose Coronado Playground,FY05Q4,0.859,Basketball Court,GGP1 Panhandle Basketball Courts,Stanyan & Great Hwy,CA,94117,,4645.55364528,279.46531331,0.10664766,-122.44838047,37.77230438
42,PSA3,Little Hollywood Park,FY05Q4,0.846,Basketball Court,Chalmers: Basketball,670 Brunswick & Lowell Roemer,CA,94112,,8546.61023555,381.78457715,0.19620396,-122.44714807,37.70979694
10,PSA4,Lake Merced Park,FY05Q4,0.73,Ball Field,Eureka Valley Ball Fields,100 Collingwood,CA,94114,,32412.1511184,705.06018676,0.74408358,-122.4366393,37.7595074
94,GGP,Golden Gate Park,FY05Q4,0.588,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
104,PSA2,Grattan Playground,FY05Q4,0.873,Basketball Court,West Sunset Basketball Courts,3223 Ortega St & 39th Ave,CA,94116,,7821.63435515,370.89819061,0.17956074,-122.49777649,37.75025416
153,PSA1,Francisco Park,FY05Q4,1,Clubhouse,Chalmers: Clubhouse,670 Brunswick & Lowell Roemer,CA,94112,1,3156.83268943,250.24551991,0.0724712,-122.4470315,37.70950787
111,PSA1,Palace of Fine Arts,FY05Q4,0.772,,,,,,,,,,,
80,PSA5,Corona Heights,FY05Q4,1,Basketball Court,Miraloma Basketball Courts,Omar & Sequoia Way,CA,94127,,6480.24350968,333.89334191,0.14876652,-122.44913152,37.73905066
200,PSA5,States Street Playground,FY05Q4,0.961,Clubhouse,Parque Ninos Unidos Clubhouse,23rd & Treat St,CA,94110,,2043.33632629,288.86182024,0.04690874,-122.41389356,37.75431392
33,PSA6,Bernal Heights Recreation Center,FY05Q4,0.921,Ball Field,South Sunset Ball Fields,40th Ave & Vicente St,CA,94116,,97238.4642689,1772.8081394,2.23229691,-122.49845826,37.73710357
192,PSA2,Turk-Hyde Mini Park,FY05Q4,1,Activity Center,Lincoln Park Golf Course Clubhouse,34th Ave & Clement,CA,94121,,8288.49405798,571.17541938,0.1902784,-122.49430875,37.78226619
22,PSA5,Upper Noe Recreation Center,FY05Q4,0.779,Ball Field,Laurel Ball Fields,Euclid & Collins Streets,CA,94118,,24075.7227053,622.98768297,0.55270475,-122.45087374,37.78391437
32,PSA6,Holly Park,FY05Q4,0.932,Ball Field,Silver Terrace Ball Fields,Thornton & Bayshore,CA,94124,,144641.95196,2286.76352614,3.3205356,-122.40329777,37.73298657
140,PSA1,Betty Ann Ong Chinese Recreation Center,FY05Q4,0.854,Restroom,Lower Great Highway Taraval Restrooms,Great Hwy & Taraval,CA,94122,,5215.72066967,489.53864192,0.11973695,-122.50704685,37.7413345
144,PSA1,Washington-Hyde Mini Park,FY05Q4,1,Restroom,Mountain Lake Restrooms,12th Ave & Lake St,CA,94118,1,907.67914558,157.99653113,0.02083753,-122.47175615,37.78697309
137,PSA1,Collis P. Huntington Park,FY05Q4,0.978,,,,,,,,,,,
145,PSA1,Ina Coolbrith Mini Park,FY05Q4,0.826,Restroom,Noe Valley Courts Bathrooms,24th & Douglass St,CA,94114,1,391.33209888,98.01244807,0.00898378,-122.43921804,37.75148479
75,PSA5,Eureka Valley Recreation Center,FY05Q4,0.385,Basketball Court,Little Hollywood Basketball Courts,Lathrop & Tocoloma,CA,94134,,3785.5995273,257.52762314,0.08690575,-122.39780481,37.71007449
73,PSA5,Seward Mini Park,FY05Q4,0.956,Basketball Court,Koshland Park Basketball Courts,Page & Buchanan,CA,94102,,1589.21913452,151.93653184,0.0364836,-122.42699192,37.77327797
94,GGP,Golden Gate Park,FY05Q4,0.864,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,,552.10783524,94.49046177,0.0126747,-122.40020504,37.73900113
30,PSA3,Palega Recreation Center,FY05Q4,0.796,Ball Field,Potrero Hill ball fields,801 Arkansas Street,CA,94107,,140706.045878,1431.23966482,3.23017926,-122.39699911,37.75553944
89,PSA4,Golden Gate Heights Park,FY05Q4,0.878,Basketball Court,Palega Basketball Courts,500 Felton,CA,94134,,7360.71353371,362.13436638,0.16897941,-122.41004368,37.72889564
72,PSA5,Noe Valley Courts,FY05Q4,0.54,Basketball Court,Kelloch Velasco Basketball Courts,Kelloch & Velasco St,CA,94134,,8317.7788332,532.84981018,0.19095069,-122.41281406,37.70844554
7,PSA5,George Christopher Playground,FY05Q4,0.5,Ball Field,Larsen Ball Fields,19th Avenue & Vicente,CA,94116,,20560.1826994,567.35952328,0.47199874,-122.47602952,37.74084587
8,PSA5,Douglass Playground,FY05Q4,0.537,Ball Field,Crocker Amazon - ball fields,Moscow & Italy Streets,CA,94112,,515443.479217,5506.26766406,11.8330014,-122.43050192,37.71451183
61,PSA6,Mission Playground,FY05Q4,0.566,Basketball Court,Grattan Basketball Courts,1180 Stanyan St,CA,94117,,7371.65644109,350.30567378,0.16923062,-122.45151797,37.76245816
105,PSA1,Angelo J. Rossi Playground,FY05Q4,0.881,Basketball Court,YoungbloodColeman Basketball Courts,Mendell & Galvez,CA,94124,,10461.2418713,450.06419153,0.24015803,-122.38380193,37.73816799
