kg.di.pesce,settore.di.pesca,forza.del.mare,peso.astice
0.020204643,B,9,29.9
0.300007343,G,9,29.3
1.779424343,B,9,29.9
0.935345343,E,7,29.9
0.450751343,B,8,28.4
23.75030434,E,8,29
1.551984343,I,8,29.6
1.850164343,E,9,29.3
1.090534343,B,9,29.3
15.29980434,E,8,29.9
0.992499343,E,9,28.1
5.114864343,C,9,27.8
3.201714343,A,9,29
0.927158343,E,9,29.6
3.365884343,C,8,27.5
39.84210434,I,7,28.4
3.415854343,C,8,28.4
5.584494343,B,7,28.7
16.44300434,B,8,27.5
21.63680434,B,7,28.4
24.76160434,A,7,28.7
0.197383343,C,9,29.1
11.21970434,C,8,26.3
41.28200434,I,7,28.4
3.438944343,E,7,27.5
46.63110434,B,6,28.7
21.76870434,G,7,27.2
3.513514343,E,7,29.3
0.440934343,E,8,27.5
5.370414343,C,7,27.5
10.64970434,B,7,27.2
15.43950434,C,7,26.6
2.928234343,D,7,26.9
0.644217343,A,7,26.9
0.883485343,F,7,26.6
0.863912343,A,7,26
25.24450434,B,6,28.1
29.02860434,B,6,26.9
7.720524343,C,7,27.2
30.40520434,A,7,29
7.761984343,C,7,28.1
0.753839343,B,7,26
29.09130434,B,7,26.3
6.900964343,E,6,25.4
5.686944343,G,7,26
0.902434343,G,7,25.1
0.455285343,B,7,26.9
31.21230434,E,5,26.6
1.492534343,G,5,26
2.414874343,B,6,26.6
13.89790434,C,6,26.6
46.63310434,G,5,26.6
12.42930434,B,6,25.4
1.458404343,E,6,26.3
3.177594343,E,6,24.5
4.808144343,B,6,25.4
7.276654343,F,6,25.7
10.22660434,C,6,23.9
2.095984343,E,6,23.9
8.547414343,E,6,24.2
8.601444343,I,5,25.1
7.182464343,B,6,24.2
2.476964343,I,6,25.1
16.02980434,B,5,23.3
1.581524343,I,5,24.2
2.050584343,G,6,24.5
8.126214343,B,4,24.5
2.016264343,E,6,23.6
0.352213343,B,6,23.9
2.250424343,B,5,23.3
38.06880434,A,5,22.7
2.369354343,B,5,24.8
3.955454343,B,5,23.9
1.139634343,B,5,24.2
7.737324343,B,5,23.3
1.167144343,I,5,21.2
1.291034343,I,5,22.7
0.382880343,A,6,23.3
3.439354343,G,6,22.1
12.43920434,G,5,24.5
10.64000434,B,5,24.2
0.741765343,E,5,22.7
0.507194343,E,5,23.3
12.78470434,E,5,23.9
10.21230434,C,5,22.4
16.77690434,E,4,23
41.06000434,E,4,23
2.413924343,B,4,20.6
24.69820434,E,4,24.5
6.921284343,E,5,23.6
10.47470434,E,5,23
12.19350434,C,5,21.8
5.789154343,I,5,21.5
13.01660434,G,5,20.6
2.289164343,B,4,21.5
4.840394343,E,5,23
13.33940434,F,5,22.1
6.962514343,E,5,21.8
1.771084343,A,3,23.9
9.820144343,C,4,22.4
13.09620434,A,5,20.6
1.887414343,E,5,22.4
2.753014343,I,5,22.1
1.538784343,A,5,23
17.09860434,A,7,20
