modello	consumo	cilindrata	peso	test400metri	trasmissione	marce	cilindri
Mazda RX4	21	110	2,62	16,46	1	4	6
Mazda RX4 Wag	21	110	2,875	17,02	1	4	6
Datsun 710	22,8	93	2,32	18,61	1	4	4
Hornet 4 Drive	21,4	110	3,215	19,44	0	3	6
Hornet Sportabout	18,7	175	3,44	17,02	0	3	8
Valiant	18,1	105	3,46	20,22	0	3	6
Duster 360	14,3	245	3,57	15,84	0	3	8
Merc 240D	24,4	62	3,19	20	0	4	4
Merc 230	22,8	95	3,15	22,9	0	4	4
Merc 280	19,2	123	3,44	18,3	0	4	6
Merc 280C	17,8	123	3,44	18,9	0	4	6
Merc 450SE	16,4	180	4,07	17,4	0	3	8
Merc 450SL	17,3	180	3,73	17,6	0	3	8
Merc 450SLC	15,2	180	3,78	18	0	3	8
Cadillac Fleetwood	10,4	205	5,25	17,98	0	3	8
Lincoln Continental	10,4	215	5,424	17,82	0	3	8
Chrysler Imperial	14,7	230	5,345	17,42	0	3	8
Fiat 128	32,4	66	2,2	19,47	1	4	4
Honda Civic	30,4	52	1,615	18,52	1	4	4
Toyota Corolla	33,9	65	1,835	19,9	1	4	4
Toyota Corona	21,5	97	2,465	20,01	0	3	4
Dodge Challenger	15,5	150	3,52	16,87	0	3	8
AMC Javelin	15,2	150	3,435	17,3	0	3	8
Camaro Z28	13,3	245	3,84	15,41	0	3	8
Pontiac Firebird	19,2	175	3,845	17,05	0	3	8
Fiat X1-9	27,3	66	1,935	18,9	1	4	4
Porsche 914-2	26	91	2,14	16,7	1	5	4
Lotus Europa	30,4	113	1,513	16,9	1	5	4
Ford Pantera L	15,8	264	3,17	14,5	1	5	8
Ferrari Dino	19,7	175	2,77	15,5	1	5	6
Maserati Bora	15	335	3,57	14,6	1	5	8
Volvo 142E	21,4	109	2,78	18,6	1	4	4
