giorno.settimana,peso.pescato,settore.di.pesca,settore.num,forza.del.mare,tempesta
1,5.168067769,A,1,7,1
1,4.074747035,A,1,7,1
1,7.358403973,A,1,5,1
1,5.022523944,A,1,5,1
1,5.826922409,A,1,5,1
1,7.073945416,A,1,3,0
1,9.19361629,A,1,1,0
1,2.643646969,B,2,9,1
1,5.851333427,B,2,6,1
1,11.68747443,B,2,0,0
1,3.537039491,C,3,7,1
1,6.331493034,C,3,6,1
1,7.572703294,C,3,4,0
1,10.36758869,C,3,3,0
1,11.67448179,C,3,0,0
1,,D,4,4,0
1,7.749932279,E,5,8,1
1,6.582500461,E,5,9,1
1,11.07285252,E,5,4,0
1,8.353646382,E,5,5,1
1,9.411150598,E,5,5,1
1,13.03967307,E,5,3,0
1,12.35854083,E,5,2,0
1,13.25742825,E,5,2,0
1,12.24187331,E,5,3,0
1,15.30004731,E,5,1,0
1,14.32372034,F,6,3,0
1,13.65086098,F,6,1,0
1,10.33420568,G,7,7,1
1,10.37646711,G,7,6,1
1,11.82287308,G,7,4,0
1,14.93390777,G,7,2,0
1,16.51620916,G,7,1,0
1,15.87663472,G,7,1,0
1,10.80251592,I,9,7,1
1,13.00832035,I,9,5,1
1,13.66664015,I,9,5,1
1,16.21146704,I,9,3,0
1,18.32193808,I,9,1,0
1,16.3935443,I,9,1,0
1,18.42882161,I,9,1,0
1,19.56513801,I,9,0,0
2,7.030214527,A,1,5,1
2,6.927255536,A,1,4,0
2,8.486007415,A,1,3,0
2,9.240122885,A,1,2,0
2,10.70707505,A,1,2,0
2,9.713738936,A,1,2,0
2,11.49438003,A,1,1,0
2,11.04503462,A,1,1,0
2,9.526844527,A,1,1,0
2,10.62804124,A,1,0,0
2,6.699738226,B,2,6,1
2,5.310975082,B,2,7,1
2,4.779906531,B,2,7,1
2,4.437723359,B,2,6,1
2,7.704275905,B,2,4,0
2,5.550498444,B,2,5,1
2,10.95625412,B,2,1,0
2,9.855744225,B,2,1,0
2,5.698852409,C,3,9,1
2,5.068328248,C,3,8,1
2,3.911758844,C,3,9,1
2,6.934547172,C,3,7,1
2,9.153328893,C,3,5,1
2,9.056078972,C,3,4,0
2,9.014909434,C,3,5,1
2,10.65410311,C,3,3,0
2,11.97062733,C,3,1,0
2,10.58894926,C,3,1,0
2,11.11363466,E,5,5,1
2,10.5460013,E,5,4,0
2,10.92176705,E,5,5,1
2,11.53328168,E,5,4,0
2,10.74310778,E,5,3,0
2,12.2863241,E,5,2,0
2,12.47865661,E,5,3,0
2,12.59694079,E,5,3,0
2,14.08641899,E,5,1,0
2,10.4621062,F,6,6,1
2,10.78515399,F,6,5,1
2,8.286442414,G,7,9,1
2,8.801743454,G,7,7,1
2,12.04336421,G,7,5,1
2,12.44663445,G,7,5,1
2,10.95361572,G,7,3,0
2,12.55537248,G,7,3,0
2,15.65841524,G,7,1,0
2,15.51891205,H,8,3,0
2,10.75946557,I,9,8,1
2,15.43311809,I,9,5,1
2,15.13429471,I,9,4,0
2,15.29481894,I,9,4,0
2,14.93726797,I,9,3,0
2,18.08105162,I,9,2,0
2,16.62693108,I,9,3,0
2,17.94553843,I,9,2,0
2,17.97163355,I,9,1,0
3,4.688212942,A,1,9,1
3,4.337619048,A,1,6,1
3,7.322009695,A,1,4,0
3,5.227103197,A,1,3,0
3,7.255387871,A,1,3,0
3,10.10736732,A,1,2,0
3,9.360903006,A,1,1,0
3,9.786643915,A,1,0,0
3,3.931220775,B,2,9,1
3,4.456724441,B,2,7,1
3,6.405110651,B,2,6,1
3,5.226713888,B,2,7,1
3,7.280495087,B,2,6,1
3,6.380066301,B,2,5,1
3,6.458428497,B,2,4,0
3,10.09182608,B,2,3,0
3,8.21313052,B,2,3,0
3,9.416217845,B,2,3,0
3,9.035111998,B,2,3,0
3,10.55553243,B,2,2,0
3,10.04708881,B,2,1,0
3,4.480579237,C,3,8,1
3,6.251181168,C,3,6,1
3,7.449627996,C,3,4,0
3,10.76166287,C,3,3,0
3,10.54488804,C,3,2,0
3,10.66366762,C,3,2,0
3,11.86935435,C,3,1,0
3,,D,4,7,1
3,,D,4,4,0
3,,D,4,0,0
3,6.171309539,E,5,9,1
3,6.917071184,E,5,7,1
3,8.530703262,E,5,5,1
